GmlId,COD_EMERGE,DES_EMERGE,FEC_EMERGE,DES_FENOME,DES_NOTA,DES_FUENTE,DES_GRUPO_,COD_PROV,COD_DIST,DES_JUSTIF,IND_TERMIN,DES_DANO,COD_GRUPO_,COD_FENOME,COD_USUARI,FEC_REGIST,MES_REGIST,LOCALIDAD,EDANOS,AHUMANITAR,DES_DPTO,DES_PROV,DES_DIST,COD_DPTO,NUM_ORDER,DES_IMAGEP,FEC_TERMIN,FEC_USUARI,NUM_POSX,NUM_POSY,IND_INC,Shape
SDE.Emergencias_2018.5,"00091004","INCENDIO EN VIVIENDA POR ARTEFACTO PIROTECNICO","2018-01-01 00:48:00","INCENDIO URBANO"," ","CENTRAL BOMBEROS, COE RIMAC","TECNOLOGICOS","01","28","CERRADO POR : COEN-11 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA A PEDIDO DE LA MUNICIPALIDAD DISTRITAL DEL RIMAC","1","QUEMA TOTAL DE LOS ARTICULOS Y BIENES DENTRO DEL INMUEBLE.","05","011","CDDCRIMAC02",2018-01-04T00:00:00,1,1,2,13,"LIMA","LIMA","RIMAC","15",40,"incendiourbano.bmp",2018-01-16T00:00:00,2018-01-04T00:00:00,-77.0405,-12.0285,88333,"POINT (-77.04050000000001 -12.02850000000001)"
SDE.Emergencias_2018.6,"00091035","INCENDIO URBANO CAUSADO POR PROBALBLE EXPLOSION DE FUEGO PIROTECNICO","2018-01-01 01:00:00","INCENDIO URBANO"," ","ALEXANDER CASTILLO DOMINGUEZ","TECNOLOGICOS","01","03"," ","0","Damnificados (04):  01.- NOELIA LENA MOROTE ROJAS(36) DNI N° 40889979. 02.-JUAN HUAMAN VASQUEZ(41)  03.- NAHIR ARIANA HUAMAN MOROTE(14)  04.NAHIR YARUMI HUAMAN MOROTE(05)","05","011","CDDCATE02",2018-01-05T00:00:00,1,1,2,0,"LIMA","LIMA","ATE","15",40,"incendiourbano.bmp",,2018-01-05T00:00:00,-76.92421,-12.02572,88364,"POINT (-76.92421000000002 -12.02571999999998)"
SDE.Emergencias_2018.7,"00091077","INCENDIO EN PREDIO","2018-01-01 01:00:00","INCENDIO URBANO"," ","CENTRO DE OPERACIONES DE EMERGENCIA - CHOSICA","TECNOLOGICOS","01","18","CERRADO POR : COEN-11 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA A PEDIDO DE LA MUNICIPALIDAD DISTRITAL DE LURIGANCHO","1","Predio de madera en estado colapsado","05","011","CDDCLURIGANCHO02",2018-01-09T00:00:00,1,1,2,13,"LIMA","LIMA","LURIGANCHO","15",40,"incendiourbano.bmp",2018-01-16T00:00:00,2018-01-09T00:00:00,-76.70381,-11.93741,88406,"POINT (-76.70380999999998 -11.93741)"
SDE.Emergencias_2018.8,"00092150","INTENSAS PRECIPITACIONES PLUVIALES INHABILITA UNA VIVIENDA EN EL SECTOR DE CHUNCUYMARCA","2018-01-01 02:00:00","PRECIPITACIONES - LLUVIA"," ","JODC DE LA MUNICIPALIDAD DISTRITAL DE ASCENSION (WYH)","METEOROLOGICOS, OCEANOGRAFICOS","01","18","CERRADO POR : COEN-05 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA A SOLICITUD DEL GOBIERNO REGIONAL DE SAN MARTIN, CON CONOCIMIENTO DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAVELICA Y DE LA MUNICIPALIDAD DISTRITAL DE ASCENCION.","1","01 FAMILIA DAMNIFICADA, 01 VIVIENDA INHABITABLE","03","004","CRDCHUANCAVELICA02",2018-02-28T00:00:00,2,1,2,9,"HUANCAVELICA","HUANCAVELICA","ASCENCION","09",17,"lluviaIntensa.bmp",2018-05-08T00:00:00,2018-02-28T00:00:00,-74.98058,-12.78423,89484,"POINT (-74.98057999999998 -12.78422999999998)"
SDE.Emergencias_2018.9,"00091002","INCENDIO URBANO POR CAUSA DESCONOCIDA","2018-01-01 02:00:00","INCENDIO URBANO"," ","ALEXANDER CASTILLO DOMINGUEZ","TECNOLOGICOS","01","03"," ","0","Damnifiicados (02): 01.-MANOLO CASAS LEON (35) DNI N° 41674659.  02.-PAOLA CEDANO LEON(25)DNI N° 71469217.","05","011","CDDCATE02",2018-01-03T00:00:00,1,1,3,0,"LIMA","LIMA","ATE","15",40,"incendiourbano.bmp",,2018-01-03T00:00:00,-76.92421,-12.02572,88331,"POINT (-76.92421000000002 -12.02571999999998)"
SDE.Emergencias_2018.10,"00091056","LLUVIAS TORRENCIALES ORIGINO DESLIZAMIENTOS Y AISLA A POBLACION DE VILCABAMBA","2018-01-01 03:00:00","DESLIZAMIENTO"," ","FRANCISCO VALDEIGLESIAS ARANA JEFE OFICINA DEFENSA CIVIL","GEODINAMICA EXTERNA","09","09","CERRADO POR : COEN-04 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA POR VENCIMIENTO EN LOS PLAZO ESTABLECIDOS PARA LA ACTUALIZACION DE LA INFORMACION REGISTRADA EN EL SINPAD, DE ACUERDO A LO DISPUESTO EN LA LEY Nº 29664 LEY DEL SISTEMA NACIONAL DE GESTION","1","01 PUENTE CARROZABLE DESTRUIDO, 01 VIVIENDA DESTRUIDO 700ML DE CARRETERA COLAPSADO EN 10 TRAMOS 05 PUENTES PEATONALES AFECTADO.","02","006","CDDCVILCABB-LC02",2018-01-07T00:00:00,1,8,7,0,"CUSCO","LA CONVENCION","VILCABAMBA","08",10,"deslizamiento.bmp",2018-04-24T00:00:00,2018-01-07T00:00:00,-72.7167,-13.02177,88385,"POINT (-72.7167 -13.02177)"
SDE.Emergencias_2018.11,"00090982","INCENDIO URBANO URB POPULAR VIRGEN DE LAS MERCEDES TRANSVERSAL DOS DE MAYO Y CORDOVA MZ P","2018-01-01 03:00:00","INCENDIO URBANO"," ","SECRETARIO TECNCIO DE LA PLATAFORMA PROVINCIAL DE SULLANA DEFENSA CIVIL","TECNOLOGICOS","06","01","CERRADO POR : COEN-17 POR : LA EMERGENCIA FUE ATENDIDA","1","EL SINIESTRO DEJO CINCO VIVIENDAS DE MATERIAL RUSTICO COPLASADAS CON 26 PERSONAS DANMIFICADAS LOS MISMOS QUE PERDIERON SUS ENSERES, ANIMALES Y MENAJERIA, ASI COMO UNA VIVIENDA AFECTADA CON TRES PERSONAS.","05","011","CPDCSULLANA02",2018-01-01T00:00:00,1,1,2,10,"PIURA","SULLANA","SULLANA","20",40,"incendiourbano.bmp",2018-01-25T00:00:00,2018-01-01T00:00:00,-80.69103,-4.89196,88311,"POINT (-80.69103000000001 -4.891959999999983)"
SDE.Emergencias_2018.12,"00090989","TECHO DE VIVIENDA QUEDO AFECTADA A CONSECUENCIA DE LLUVIAS EN VILLA AMAPAY","2018-01-01 05:40:00","PRECIPITACIONES - LLUVIA"," ","COMPAÑIA DE BOMBEROS N°68 DE ABANCAY","METEOROLOGICOS, OCEANOGRAFICOS","01","01","CERRADO POR : COEN-17 POR : SE CIERRA LA EMERGENCIA A SOLICITUD DEL COEP ABANCAY","1","EL TECHO DE UNA VIVENDA DE CALAMINA Y ETERNIT QUEDO AFECTADA Y A PUNTO DE COLAPSAR, PONIENDO EN PELIGRO LA SALUD Y LOS BIENES DE LA FAMILIA  QUE HABITAN ESTA VIVENDA","03","004","CPDCABANCAY03",2018-01-03T00:00:00,1,1,2,2,"APURIMAC","ABANCAY","ABANCAY","03",17,"lluviaIntensa.bmp",2018-01-03T00:00:00,2018-01-03T00:00:00,-72.8793,-13.63688,88318,"POINT (-72.8793 -13.63688000000002)"
SDE.Emergencias_2018.13,"00091024","CAIDA DE PIEDRAS Y LODO A LA PLATAFORMA DE LA CARRETERA","2018-01-01 06:00:00","DESLIZAMIENTO"," ","CESAR A. BENDEZU UGARTE","GEODINAMICA EXTERNA","09","02","CERRADO POR : COEN-04 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA A SOLICITUD DEL GOBIERNO REGIONAL DE CUSCO Y CON CONOCIMIENTO DE LA MUNICIPALIDAD PROVINICIAL DE LA CONVENCION Y LA MUNICIPALIDAD DISTRITAL DE ECHARATE - (NO AMERITA AYUDA HUMANITARIA)","1","INTERRUPCION DE TRANSITO VEHICULAR","02","006","CDDCECHARATE02",2018-01-04T00:00:00,1,1,1,0,"CUSCO","LA CONVENCION","ECHARATE","08",10,"deslizamiento.bmp",2018-04-04T00:00:00,2018-01-04T00:00:00,-73.38678,-12.65053,88353,"POINT (-73.38677999999999 -12.65053)"
SDE.Emergencias_2018.14,"00091380","DESLIZAMIENTO DE LODO Y ARBOLES","2018-01-01 06:30:00","DESLIZAMIENTO"," ","SRA. LUZBENIA ALVAREZ PEREIRA TTE. GOBERNADORA KEPASHIATO-CIGAKIATO","GEODINAMICA EXTERNA","09","02","CERRADO POR : COEN-04 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA A SOLICITUD DEL GOBIERNO REGIONAL DE CUSCO Y CON CONOCIMIENTO DE LA MUNICIPALIDAD PROVINICIAL DE LA CONVENCION Y LA MUNICIPALIDAD DISTRITAL DE ECHARATE","1","COLAPSAMIENTO DE VIVIENDA DE MADERA DE DOS NIVELES CON PERIDA DE ENSERES, VIVERES, ROPA DE CAMA ETC.","02","006","CDDCECHARATE02",2018-01-24T00:00:00,1,1,2,12,"CUSCO","LA CONVENCION","ECHARATE","08",10,"deslizamiento.bmp",2018-04-05T00:00:00,2018-01-24T00:00:00,-73.34742,-12.68903,88710,"POINT (-73.34742 -12.68903)"
