GmlId,COD_EMERGE,DES_EMERGE,FEC_EMERGE,DES_FENOME,DES_FUENTE,DES_GRUPO_,COD_PROV,COD_DIST,DES_JUSTIF,COD_GRUPO_,COD_FENOME,FEC_REGIST,MES_REGIST,LOCALIDAD,EDANOS,AHUMANITAR,DES_DPTO,DES_PROV,DES_DIST,COD_DPTO,FEC_TERMIN,FEC_USUARI,X,Y,Shape;;;;;;;;
"SDE.Emergencias_2016.540,""00074467"",""SEQUIAS AFECTAN CULTIVOS EN LA LOCALIDAD DE CARAYBAMBA"",""2016-01-25 11:00:00"",""SEQUIA"",""EL COE DISTRITAL DE DEFENSA CIVIL DE CARAYBAMBA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""04"",""03"",""CERRADO POR : COE-OP2 POR : Se realizó actualización de información, se derivó a la dirección correspondiente para su atención."",""03"",""008"",2016-02-01T00:00:00,2,1,15,0,""APURIMAC"",""AYMARAES"",""CARAYBAMBA"",""03"",2016-06-14T00:00:00,2016-02-01T00:00:00,-73.16139,-14.37915,""POINT (-73.16138999999998 -14.37914999999998)""";;;;;;;;
"SDE.Emergencias_2016.541,""00074629"",""JR HUAMANGA 102 SEGUNDO PISO"",""2016-01-25 11:20:00"",""INCENDIO URBANO"",""FELIPE CHANG LAU"",""TECNOLOGICOS"",""01"",""01"",""CERRADO POR : COE-OP7 POR : La emergencia fue atendida.";;;;;;;;
",05"",""011"",2016-02-03T00:00:00,2,1,2,0,""LIMA"",""LIMA"",""LIMA"",""15"",2016-02-19T00:00:00,2016-02-03T00:00:00,-77.0323,-12.04668,""POINT (-77.03230000000002 -12.04667999999998)""";;;;;;;;
"SDE.Emergencias_2016.542,""00074454"",""VIENTOS FUERTES AFECTA VIVIENDA EN LA LOCALIDAD DE CURANCO"",""2016-01-25 13:30:00"",""VIENTOS FUERTES"",""EL COE DISTRITAL DE DEFENSA CIVIL DE  ANTABAMBA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""03"",""01"",""CERRADO POR : COE-OP2 POR : Emergencia se cierra por falta de actualización de parte del usuario."",""03"",""010"",2016-02-01T00:00:00,2,1,2,0,""APURIMAC"",""ANTABAMBA"",""ANTABAMBA"",""03"",2016-04-13T00:00:00,2016-02-01T00:00:00,-72.76842,-14.41866,""POINT (-72.76841999999999 -14.41865999999999)""";;;;;;;;
"SDE.Emergencias_2016.543,""00074398"",""AUSENCIA DE LLUVIAS AFECTAN CULTIVOS EN LA LOCALIDAD DE CALCAUSO VITO SILCO SANTA ROSA MOLLEBAMBA"",""2016-01-25 15:00:00"",""SEQUIA"",""EL COE DISTRITAL DE DEFENSA CIVIL DE JUAN ESPINOZA MEDRANO"",""METEOROLOGICOS, OCEANOGRAFICOS"",""03"",""04"",""CERRADO POR : COE-OP2 POR : Se realizó actualización de información, se derivó a la dirección correspondiente para su atención."",""03"",""008"",2016-01-29T00:00:00,1,5,75,0,""APURIMAC"",""ANTABAMBA"",""J.ESPINOZA MEDRANO"",""03"",2016-06-14T00:00:00,2016-01-29T00:00:00,-72.91332,-14.45162,""POINT (-72.91332 -14.45161999999999)""";;;;;;;;
"SDE.Emergencias_2016.544,""00074404"",""AUSENCIA DE LLUVIAS AFECTAN CULTIVOS EN LA LOCALIDAD DE CURANCO CHUÑOHUANCHO MOLLOCCO"",""2016-01-25 15:00:00"",""SEQUIA"",""EL COE DISTRITAL DE DEFENSA CIVIL DE ANTABAMBA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""03"",""01"",""CERRADO POR : COE-OP2 POR : Se realizó actualización de información, se derivó a la dirección correspondiente para su atención."",""03"",""008"",2016-01-29T00:00:00,1,3,36,0,""APURIMAC"",""ANTABAMBA"",""ANTABAMBA"",""03"",2016-06-14T00:00:00,2016-01-29T00:00:00,-72.76842,-14.41866,""POINT (-72.76841999999999 -14.41865999999999)""";;;;;;;;
"SDE.Emergencias_2016.545,""00075383"",""VIENTOS FUERTES EN EL DISTRITO DE CANGALLO LOCALIDAD CANCALLA"",""2016-01-25 15:00:00"",""VIENTOS FUERTES"",""PABEL BELLIDO MIRANDA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""02"",""01"",""CERRADO POR : COEN-18 POR : A SOLICITUD DEL GOBIERNO REGIONAL DE AYACUCHO SE PROCEDE EL CIERRE DE EMERGENCIA."",""03"",""010"",2016-03-02T00:00:00,3,1,2,0,""AYACUCHO"",""CANGALLO"",""CANGALLO"",""05"",2016-05-09T00:00:00,2016-03-02T00:00:00,-74.11448,-13.62944,""POINT (-74.11448000000002 -13.62943999999999)""";;;;;;;;
"SDE.Emergencias_2016.546,""00074816"",""LLUVIAS FUERTES EN EL DISTRITO DE CHILCAYOV"",""2016-01-25 16:00:00"",""PRECIPITACIONES - LLUVIA"",""JUAN MIRANDA CABANA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""09"",""04"",""CERRADO POR : COEN-24 POR : EL GOBIERNO REGIONAL INFORMO QUE LA EMERGENCIA FUE ATENDIDA, SE PROCEDE AL CIERRE DE LA EMERGENCIA."",""03"",""004"",2016-02-11T00:00:00,2,1,2,9,""AYACUCHO"",""SUCRE"",""CHILCAYOC"",""05"",2016-03-28T00:00:00,2016-02-11T00:00:00,-73.73069,-13.88364,""POINT (-73.73068999999998 -13.88364000000001)""";;;;;;;;
"SDE.Emergencias_2016.547,""00074711"",""SEQUIAS AFECTAN CULTIVOS EN LA LOCALIDAD DE CHUQUIBAMBILLA"",""2016-01-25 16:00:00"",""SEQUIA"",""EL COE PROVINCIAL DE DEFENSA CIVIL Y LA AGENCIA AGRARIA DE GRAU"",""METEOROLOGICOS, OCEANOGRAFICOS"",""07"",""01"",""CERRADO POR : COEN-09 POR : SE DERIVÓ A LA DIRECCIÓN REGIONAL DE AGRICULTURA APURÍMAC POR SER DE SU COMPETENCIA."",""03"",""008"",2016-02-05T00:00:00,2,13,24,0,""APURIMAC"",""GRAU"",""CHUQUIBAMBILLA"",""03"",2016-10-14T00:00:00,2016-02-05T00:00:00,-72.70869,-14.10441,""POINT (-72.70868999999999 -14.10440999999997)""";;;;;;;;
"SDE.Emergencias_2016.641,""00074834"",""AUSENCIA DE LLUVIAS PRODUCE SEQUIAS EN HUACAYBAMBA"",""2016-01-28 13:00:00"",""SEQUIA"",""SECRETARIO TECNICO DE DEFENSA CIVIL DE  HUACAYBAMBA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""04"",""01"",""CERRADO POR : COEN-25 POR : Se procede el cierre a solicitud del COER, las Dependencias de la Dirección Regional de Agricultura y Agro Rural, están tomando las acciones correspondientes."",""03"",""008"",2016-02-11T00:00:00,2,1,2,0,""HUÁNUCO"",""HUACAYBAMBA"",""HUACAYBAMBA"",""10"",2016-02-12T00:00:00,2016-02-11T00:00:00,-76.95707,-9.03828,""POINT (-76.95706999999999 -9.038279999999986)""";;;;;;;;
